"","Isolation","Genus","Source","Genus.size","Source.size","Isolation.size","MinNumPhage","MedianNumPhage","SD_NumPhage","MaxNumPhage","Min_PhagePercent","Med_PhagePercent","SD_PhagePercent","Max_PhagePercent","MinPhageLength","MedianPhageLength","SD_PhageLength","MaxPhageLength","Min_BacterialGenome","Median_BacterialGenome","Sd_baclength","Max_BacterialGenome"
"1","Amphibian","Janthinobacterium","Amphibian",24,5,5,0,2,1.14017542509914,3,0,0.545332941621064,0.31254818831284,0.746065420178742,9550,17114.5,6129.13291321514,31233,6081024,6276716,702453.139231864,7787708
"2","Enviro","Janthinobacterium","NCBI",24,19,15,0,1,0.639940473422184,2,0,0.29161800349119,0.234555666449359,0.804036783670864,10725,20019,6519.81862654759,31227,6235214,6381259,180390.29083597,6760367
"3","Host_non","Janthinobacterium","NCBI",24,19,4,0,0.5,0.577350269189626,1,0,0.128864216293581,0.168896439845063,0.320559265372187,16012,18104.5,2959.2418792657,20197,6212741,6359028,115125.011396308,6467981
