"","Isolation","Genus","Source","Genus.size","Source.size","Isolation.size","MinNumPhage","MedianNumPhage","SD_NumPhage","MaxNumPhage","Min_PhagePercent","Med_PhagePercent","SD_PhagePercent","Max_PhagePercent","MinPhageLength","MedianPhageLength","SD_PhageLength","MaxPhageLength","Min_BacterialGenome","Median_BacterialGenome","Sd_baclength","Max_BacterialGenome"
"1","Amphibian","Janthinobacterium","Amphibian",24,5,5,1,3,1.58113883008419,5,0.436521246045691,1.09563663546351,0.891860025916019,2.51349266565303,9550,20334,17317.6952873836,66515,6081024,6276716,702453.139231864,7787708
"2","Enviro","Janthinobacterium","NCBI",24,19,15,0,3,1.53374735611213,5,0,1.40551711617276,1.0565833319702,3.39389457758077,10725,33293,18139.1461468728,84884,6235214,6381259,180390.29083597,6760367
"3","Host_non","Janthinobacterium","NCBI",24,19,4,1,1,0.5,2,0.320559265372187,0.65682285044454,0.23280801345399,0.88539020055721,16012,38995,12816.5236979456,42764,6212741,6359028,115125.011396308,6467981
